Year,Quarter,Period of coverage,Breakdown,Level,Employment rate of people with mental illness,Employment rate of population ,Indicator value,Mental illness numerator,Mental illness denominator,Population numerator,Population denominator
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Cambridgeshire,50.9%,76.7%,25.8%,"10,000","19,700","304,500","396,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Camden,*,70.2%,*,*,*,"111,000","158,200"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Cheshire,21.7%,69.4%,47.7%,"4,600","21,300","296,300","427,100"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,City of Bristol UA,30.5%,69.2%,38.7%,"7,400","24,400","202,700","293,000"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,City of Kingston upon Hull UA,36.2%,68.8%,32.7%,"5,300","14,600","124,300","180,600"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Cornwall and the Isles of Scilly,30.7%,66.9%,36.1%,"10,900","35,400","217,800","325,800"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,County of Herefordshire UA,29.2%,75.5%,46.3%,"1,600","5,500","75,500","100,100"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Coventry,36.9%,64.0%,27.1%,"3,100","8,300","126,800","198,300"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Croydon,*,73.7%,*,*,*,"174,300","236,500"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Cumbria,35.0%,77.0%,42.0%,"7,200","20,700","229,200","297,800"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Darlington UA,47.3%,75.2%,27.9%,"1,700","3,500","47,200","62,800"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Derby UA,39.3%,65.5%,26.2%,"8,300","21,200","117,500","179,400"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Derbyshire,28.8%,75.1%,46.3%,"8,600","29,900","360,900","480,800"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Devon,34.4%,75.0%,40.6%,"12,700","36,900","329,000","438,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Doncaster,42.3%,72.2%,29.9%,"7,800","18,400","141,100","195,600"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Dorset,49.5%,78.5%,29.0%,"11,800","23,900","181,800","231,700"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Dudley,*,70.6%,*,*,*,"132,900","188,200"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Durham,35.1%,61.6%,26.6%,"13,100","37,500","200,100","324,700"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Ealing,41.7%,66.3%,24.6%,"4,500","10,900","140,200","211,600"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,East Riding of Yorkshire UA,34.1%,74.0%,39.8%,"5,900","17,200","161,400","218,200"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,East Sussex,22.3%,70.0%,47.7%,"5,300","23,700","214,300","306,400"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Enfield,29.0%,66.3%,37.3%,"2,600","9,100","117,300","177,100"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Essex,30.7%,72.5%,41.9%,"15,400","50,200","672,100","926,800"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Gateshead,17.2%,67.0%,49.8%,"2,600","15,200","79,900","119,300"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Gloucestershire,55.3%,77.0%,21.7%,"12,100","21,900","301,700","391,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Greenwich,28.9%,65.8%,37.0%,"3,400","11,900","93,500","142,100"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Hackney,*,61.5%,*,*,"7,900","103,100","167,600"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Halton UA,*,64.5%,*,*,*,"51,500","79,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Hammersmith and Fulham,*,71.5%,*,*,*,"90,200","126,200"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Hampshire,48.8%,75.8%,26.9%,"21,300","43,600","608,200","802,800"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Haringey,*,69.7%,*,*,*,"105,200","151,000"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Harrow,*,67.5%,*,*,*,"104,800","155,300"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Hartlepool UA,*,55.2%,*,*,*,"31,700","57,400"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Havering,*,73.6%,*,*,*,"97,100","132,000"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Hertfordshire,49.0%,77.5%,28.5%,"13,100","26,800","572,000","737,600"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Hillingdon,*,72.0%,*,*,*,"128,400","178,400"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Hounslow,30.3%,70.8%,40.6%,"2,100","7,000","116,400","164,400"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Isle of Wight UA,27.2%,67.8%,40.6%,"1,100","4,100","56,600","83,500"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Islington,61.6%,65.8%,4.2%,"3,200","5,200","96,900","147,200"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Kensington and Chelsea,*,62.8%,*,*,*,"71,800","114,500"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Kent,33.6%,69.3%,35.8%,"22,600","67,200","612,400","883,200"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Kingston upon Thames,*,69.2%,*,*,*,"87,900","127,100"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Kirklees,23.2%,70.1%,46.9%,"2,900","12,300","179,600","256,300"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Knowsley,48.2%,67.4%,19.3%,"2,300","4,800","59,500","88,200"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Lambeth,54.2%,80.8%,26.5%,"5,700","10,500","163,600","202,600"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Lancashire,29.3%,70.3%,41.0%,"20,200","69,000","503,000","715,600"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Leeds,14.3%,68.4%,54.1%,"4,400","30,900","374,900","548,200"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Leicester UA,*,64.1%,*,*,*,"130,300","203,400"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Leicestershire,41.6%,73.7%,32.0%,"13,900","33,300","308,600","419,000"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Lewisham,25.9%,72.0%,46.1%,"2,900","11,300","150,400","209,000"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Lincolnshire,30.3%,71.5%,41.1%,"9,700","31,900","301,700","422,300"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Liverpool,17.1%,61.4%,44.3%,"4,600","27,100","173,500","282,800"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Luton UA,*,67.8%,*,*,*,"88,600","130,700"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Manchester,17.3%,58.6%,41.3%,"4,700","27,300","214,400","365,800"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Medway UA,48.5%,71.8%,23.3%,"6,000","12,300","111,900","155,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Merton,*,77.4%,*,*,*,"114,200","147,700"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Middlesbrough UA,*,57.1%,*,*,*,"59,700","104,700"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Milton Keynes UA,25.9%,81.9%,56.1%,"2,000","7,800","132,700","162,100"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Newcastle upon Tyne,17.1%,60.0%,43.0%,"3,400","19,700","126,000","209,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Newham,21.7%,63.8%,42.2%,"2,600","12,000","111,900","175,400"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Norfolk,32.4%,72.7%,40.3%,"11,200","34,500","369,900","508,800"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,North East Lincolnshire UA,*,70.8%,*,*,*,"69,800","98,500"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,North Lincolnshire UA,*,72.0%,*,*,*,"64,200","89,200"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,North Somerset UA,26.1%,73.3%,47.2%,"2,500","9,600","98,000","133,800"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,North Tyneside,37.3%,76.1%,38.8%,"4,800","12,800","93,600","123,100"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,North Yorkshire,46.8%,78.2%,31.5%,"11,200","24,000","282,500","361,000"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Northamptonshire,22.8%,75.8%,53.0%,"4,100","18,000","324,700","428,200"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Northumberland,35.4%,78.4%,43.0%,"6,400","18,000","153,300","195,600"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Nottingham UA,39.2%,54.9%,15.6%,"6,100","15,600","118,700","216,400"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Nottinghamshire,34.7%,70.0%,35.3%,"14,600","42,000","353,200","504,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Oldham,23.0%,62.2%,39.2%,"3,500","15,400","92,100","148,200"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Oxfordshire,46.2%,77.2%,30.9%,"9,400","20,300","329,600","427,100"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Peterborough UA,23.5%,70.5%,47.0%,"1,800","7,700","74,000","104,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Plymouth UA,30.4%,66.4%,36.0%,"7,600","24,900","111,300","167,700"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Poole UA,34.1%,76.8%,42.7%,"1,900","5,600","63,300","82,400"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Portsmouth UA,37.0%,71.7%,34.7%,"2,800","7,600","99,500","138,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Reading UA,26.6%,73.1%,46.6%,"1,600","6,100","82,300","112,500"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Redbridge,*,72.2%,*,*,*,"136,100","188,500"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Redcar and Cleveland UA,36.8%,65.2%,28.4%,"4,000","10,800","56,700","86,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Richmond upon Thames,71.0%,79.8%,8.8%,"5,000","7,100","110,700","138,800"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Rochdale,21.5%,62.2%,40.7%,"2,400","11,100","80,600","129,600"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Rotherham,27.8%,67.6%,39.9%,"3,300","11,800","104,700","154,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Rutland UA,*,54.0%,*,*,*,"11,900","22,000"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Salford,21.0%,64.1%,43.1%,"3,400","16,400","100,200","156,400"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Sandwell,33.2%,66.2%,33.0%,"4,400","13,300","127,700","192,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Sefton,44.6%,70.9%,26.3%,"3,400","7,600","117,500","165,700"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Sheffield,32.7%,68.5%,35.8%,"11,800","36,200","251,900","368,000"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Shropshire,54.0%,76.8%,22.8%,"4,600","8,500","141,300","184,100"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Slough UA,*,67.5%,*,*,*,"60,100","89,100"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Solihull,39.3%,75.3%,36.1%,"4,800","12,200","105,100","139,600"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Somerset,50.1%,76.5%,26.3%,"11,900","23,700","242,700","317,500"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,South Gloucestershire UA,57.7%,77.3%,19.6%,"5,800","10,100","142,100","183,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,South Tyneside,34.7%,69.3%,34.6%,"2,600","7,400","70,700","102,000"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Southampton UA,27.8%,69.6%,41.8%,"4,000","14,500","121,100","174,000"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Southend-on-Sea UA,*,72.3%,*,*,*,"70,700","97,700"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Southwark,*,69.7%,*,*,*,"146,200","209,600"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,St. Helens,22.6%,73.3%,50.7%,"2,000","8,800","78,800","107,500"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Staffordshire,30.2%,74.7%,44.5%,"8,100","26,700","387,500","518,800"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Stockport,39.3%,76.4%,37.1%,"4,800","12,200","147,300","192,800"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Stockton-on-Tees UA,17.4%,68.2%,50.9%,"2,000","11,400","77,100","113,100"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Stoke-on-Trent UA,29.9%,66.4%,36.5%,"3,500","11,600","102,900","155,000"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Suffolk,55.1%,77.2%,22.1%,"16,500","29,900","346,000","448,300"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Sunderland,24.7%,64.6%,40.0%,"6,900","28,100","126,500","195,800"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Surrey,51.6%,75.5%,23.9%,"19,800","38,300","546,400","723,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Sutton,69.1%,79.8%,10.7%,"6,300","9,100","105,700","132,400"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Swindon UA,*,74.5%,*,*,*,"104,100","139,700"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Tameside,20.8%,69.1%,48.3%,"3,200","15,500","94,400","136,500"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Telford and Wrekin UA,24.7%,69.9%,45.2%,"2,000","7,900","76,500","109,400"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Thurrock UA,*,72.3%,*,*,*,"80,200","111,000"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Torbay UA,25.1%,71.3%,46.2%,"1,800","7,000","45,500","63,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Tower Hamlets,*,64.2%,*,*,*,"129,200","201,100"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Trafford,26.8%,70.9%,44.1%,"3,500","13,000","99,400","140,000"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Wakefield,32.9%,72.0%,39.1%,"6,100","18,500","158,700","220,200"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Walsall,*,64.4%,*,*,*,"101,700","157,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Waltham Forest,*,67.1%,*,*,*,"109,700","163,500"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Wandsworth,*,74.4%,*,*,*,"152,600","205,100"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Warrington UA,25.5%,80.6%,55.1%,"2,300","9,000","102,800","127,600"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Warwickshire,29.6%,78.6%,49.1%,"1,800","6,200","247,100","314,300"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,West Berkshire UA,*,79.9%,*,*,*,"78,400","98,100"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,West Sussex,47.6%,78.1%,30.5%,"14,000","29,300","381,900","489,300"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Westminster,*,59.6%,*,*,*,"114,200","191,600"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Wigan,20.1%,68.2%,48.0%,"3,300","16,200","135,200","198,300"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Wiltshire,24.2%,75.5%,51.3%,"4,100","16,900","224,000","296,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Windsor and Maidenhead UA,*,81.5%,*,*,*,"83,200","102,100"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Wirral,27.1%,74.2%,47.1%,"2,700","9,900","143,100","192,800"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Wokingham UA,*,85.9%,*,*,*,"91,700","106,700"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Wolverhampton,*,64.2%,*,*,*,"97,700","152,200"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Worcestershire,59.0%,77.6%,18.6%,"9,100","15,500","274,400","353,400"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,York UA,41.2%,70.6%,29.3%,"3,600","8,700","101,100","143,300"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Barking and Dagenham,*,57.9%,*,*,*,"72,900","125,800"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Barnet,41.7%,70.6%,28.9%,"4,700","11,400","161,400","228,400"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Barnsley,*,67.3%,*,*,*,"108,600","161,500"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Bath and North East Somerset UA,36.7%,69.2%,32.5%,"2,300","6,400","80,700","116,600"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Bedfordshire,29.0%,77.6%,48.5%,"3,600","12,500","202,500","261,000"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Bexley,64.7%,77.2%,12.5%,"4,300","6,700","108,500","140,500"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Birmingham,27.0%,59.2%,32.3%,"17,100","63,500","398,800","673,200"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Blackburn with Darwen UA,*,59.6%,*,*,*,"57,800","97,000"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Blackpool UA,*,62.5%,*,*,*,"49,000","78,300"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Bolton,15.2%,67.5%,52.3%,"1,900","12,600","123,500","182,900"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Bournemouth UA,45.1%,78.5%,33.4%,"3,200","7,100","85,800","109,300"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Bracknell Forest UA,*,74.4%,*,*,*,"56,000","75,200"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Bradford,33.6%,62.5%,28.9%,"6,300","18,700","201,700","322,900"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Brent,*,63.4%,*,*,*,"111,600","176,000"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Brighton and Hove UA,49.8%,72.1%,22.3%,"9,400","19,000","128,700","178,600"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Bromley,47.9%,74.8%,26.9%,"6,900","14,300","157,500","210,500"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Buckinghamshire,22.6%,77.2%,54.6%,"3,200","14,100","246,400","319,100"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Bury,25.0%,77.3%,52.3%,"1,800","7,400","92,100","119,200"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Calderdale,31.0%,69.3%,38.2%,"3,700","12,000","92,400","133,400"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Cambridgeshire,45.2%,76.0%,30.9%,"11,600","25,600","308,300","405,600"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Camden,*,67.1%,*,*,*,"113,800","169,600"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Cheshire,32.3%,75.7%,43.4%,"6,200","19,000","321,800","425,400"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,City of Bristol UA,31.9%,72.3%,40.4%,"6,500","20,400","210,700","291,500"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,City of Kingston upon Hull UA,37.0%,61.1%,24.1%,"5,900","15,800","112,600","184,300"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Cornwall and the Isles of Scilly,30.8%,69.4%,38.7%,"9,800","31,800","217,300","313,100"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,County of Herefordshire UA,58.1%,76.4%,18.3%,"3,100","5,400","82,100","107,500"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Coventry,34.1%,66.9%,32.7%,"2,700","8,000","127,500","190,700"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Croydon,29.1%,74.8%,45.7%,"2,700","9,200","172,200","230,100"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Cumbria,29.2%,76.5%,47.3%,"5,900","20,300","230,400","301,300"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Darlington UA,27.7%,73.4%,45.8%,"1,700","6,200","54,900","74,800"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Derby UA,32.2%,68.6%,36.4%,"4,600","14,200","108,800","158,600"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Derbyshire,26.9%,72.9%,46.1%,"10,000","37,300","359,100","492,600"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Devon,40.1%,76.4%,36.3%,"16,600","41,300","349,800","457,700"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Doncaster,31.8%,71.4%,39.6%,"7,200","22,500","139,000","194,700"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Dorset,48.3%,78.4%,30.0%,"7,200","14,900","165,000","210,600"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Dudley,36.2%,73.1%,36.9%,"4,700","13,000","142,800","195,400"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Durham,27.2%,65.7%,38.5%,"10,000","36,800","210,800","320,800"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Ealing,39.2%,67.5%,28.3%,"6,400","16,300","139,400","206,600"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,East Riding of Yorkshire UA,39.2%,74.8%,35.7%,"5,600","14,200","164,600","220,100"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,East Sussex,32.1%,69.1%,37.0%,"8,000","24,900","195,100","282,500"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Enfield,*,64.9%,*,*,*,"115,300","177,800"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Essex,27.1%,72.6%,45.5%,"13,600","50,000","651,800","897,600"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Gateshead,21.7%,68.5%,46.8%,"2,900","13,500","87,500","127,800"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Gloucestershire,54.0%,77.3%,23.3%,"12,800","23,700","305,900","395,800"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Greenwich,34.8%,70.5%,35.7%,"2,800","8,100","95,500","135,600"
2012,4,1/10/2012 to 31/12/2012,Unitary authority/Local area,Hackney,*,67.3%,*,*,*,"107,700","160,000"
